id,name,name_en,country,province,longitude,latitude,timezone,population,capital
165,波士顿,Boston,United States,Massachusetts,-71.0852,42.3188,America/New_York,4453352,admin
166,昆明,Kunming,China,云南,102.7061,25.0433,Asia/Shanghai,4422687,admin
167,益阳,Yiyang,China,湖南,112.3333,28.5833,Asia/Shanghai,4413800,minor
168,贵港,Guigang,China,广西,109.5944,23.1144,Asia/Shanghai,4409200,minor
169,长春,Changchun,China,吉林,125.3228,43.88,Asia/Shanghai,4408155,admin
170,六安,Lu'an,China,安徽,116.5078,31.7542,Asia/Shanghai,4393699,minor
171,梅州,Meizhou,China,广东,116.1191,24.2998,Asia/Shanghai,4378800,minor
172,卡诺,Kano,Nigeria,Kano,8.592,12.0022,Africa/Lagos,4348000,admin
173,张家口,Zhangjiakou,China,河北,114.8811,40.8108,Asia/Shanghai,4345485,minor
174,赤峰,Chifeng,China,Inner Mongolia,118.8825,42.255,Asia/Shanghai,4341245,minor
175,乌鲁木齐,Urumqi,China,新疆,87.6125,43.8225,Asia/Shanghai,4335018,admin
176,汕头,Shantou,China,广东,116.6822,23.3539,Asia/Shanghai,4312193,minor
177,Santo Domingo,Santo Domingo,Dominican Republic,Ozama,-69.9361,18.4625,UTC,4274651,primary
178,泸州,Luzhou,China,四川,105.4409,28.8918,Asia/Shanghai,4254149,minor
179,巴马科,Bamako,Mali,Bamako,-7.9922,12.6458,UTC,4227569,primary
180,合肥,Hefei,China,安徽,117.2808,31.8639,Asia/Shanghai,4216941,admin
181,福塔莱萨,Fortaleza,Brazil,Ceará,-38.5275,-3.7275,America/Sao_Paulo,4167996,admin
182,安庆,Anqing,China,安徽,117.0333,30.5,Asia/Shanghai,4165284,minor
183,柳州,Liuzhou,China,广西,109.4281,24.3264,Asia/Shanghai,4157934,minor
184,肇庆,Zhaoqing,China,广东,112.4667,23.05,Asia/Shanghai,4151700,minor
185,凤凰城,Phoenix,United States,Arizona,-112.0892,33.5722,America/New_York,4121103,admin
186,石家庄,Shijiazhuang,China,河北,114.51,38.0425,Asia/Shanghai,4098244,admin
187,宁波,Ningbo,China,浙江,121.5492,29.875,Asia/Shanghai,4087524,minor
188,抚州,Fuzhou,China,江西,116.3577,27.9814,Asia/Shanghai,4047200,
189,株洲,Zhuzhou,China,湖南,113.1469,27.8407,Asia/Shanghai,4020800,minor
190,安曼,Amman,Jordan,Al ‘Āşimah,35.9333,31.95,Asia/Amman,4007526,primary
191,滁州,Chuzhou,China,安徽,118.3115,32.3062,Asia/Shanghai,3987054,
192,临汾,Linfen,China,山西,111.5087,36.0812,Asia/Shanghai,3976481,
193,清远,Qingyuan,China,广东,113.0507,23.6842,Asia/Shanghai,3969473,minor
194,咸阳,Xianyang,China,陕西,108.7092,34.3297,Asia/Shanghai,3959842,minor
195,卡萨布兰卡,Casablanca,Morocco,Casablanca-Settat,-7.62,33.5992,Africa/Casablanca,3950000,admin
196,娄底,Loudi,China,湖南,111.9974,27.7378,Asia/Shanghai,3931800,
197,库马西,Kumasi,Ghana,Ashanti,-1.625,6.7,Africa/Accra,3903480,admin
198,德阳,Deyang,China,四川,104.395,31.1289,Asia/Shanghai,3877000,minor
199,太原,Taiyuan,China,山西,112.5425,37.8733,Asia/Shanghai,3875054,admin
200,伊巴丹,Ibadan,Nigeria,Oyo,3.9058,7.3775,Africa/Lagos,3861000,admin
201,枣庄,Zaozhuang,China,山东,117.55,34.8667,Asia/Shanghai,3855601,
202,南宁,Nanning,China,广西,108.315,22.8192,Asia/Shanghai,3837979,admin
203,Taichung,Taichung,Taiwan,Taichung,120.6794,24.1439,Asia/Taipei,3799301,admin
204,Detroit,Detroit,United States,Michigan,-83.1024,42.3834,America/New_York,3773725,
205,濮阳,Puyang,China,河南,115.03,35.7639,Asia/Shanghai,3772088,minor
206,阿布贾,Abuja,Nigeria,Federal Capital Territory,7.4914,9.0556,Africa/Lagos,3770000,primary
207,横滨,Yokohama,Japan,Kanagawa,139.65,35.4333,Asia/Tokyo,3757630,admin
208,厦门,Xiamen,China,福建,118.0819,24.4797,Asia/Shanghai,3707091,minor
209,内江,Neijiang,China,四川,105.0635,29.5872,Asia/Shanghai,3702847,minor
210,蒙特利尔,Montreal,Canada,Quebec,-73.5617,45.5089,America/Toronto,3675219,
211,芜湖,Wuhu,China,安徽,118.3622,31.334,Asia/Shanghai,3644420,minor
212,西雅图,Seattle,United States,Washington,-122.3244,47.6211,America/New_York,3642006,
213,Medan,Medan,Indonesia,Sumatera Utara,98.6739,3.5894,Asia/Jakarta,3632000,admin
214,温州,Wenzhou,China,浙江,120.6561,27.9991,Asia/Shanghai,3604447,
215,常州,Changzhou,China,江苏,119.9692,31.8122,Asia/Shanghai,3601080,minor
216,焦作,Jiaozuo,China,河南,113.2304,35.229,Asia/Shanghai,3590700,minor
217,南昌,Nanchang,China,江西,115.8872,28.6842,Asia/Shanghai,3576548,admin
218,科隆,Cologne,Germany,North Rhine-Westphalia,6.9578,50.9422,Europe/Berlin,3500000,
219,Vadodara,Vadodara,India,Gujarāt,73.2,22.3,Asia/Kolkata,3500000,
220,Nadampalaiyam,Nadampalaiyam,India,Tamil Nādu,77.376,11.1793,Asia/Kolkata,3458045,
221,釜山,Busan,"Korea, South",Busan,129.075,35.18,Asia/Seoul,3453198,admin
222,呼和浩特,Hohhot,China,Inner Mongolia,111.6629,40.8151,Asia/Shanghai,3446100,admin
223,旧金山,San Francisco,United States,California,-122.4449,37.7558,America/New_York,3417736,
224,唐山,Tangshan,China,河北,118.1739,39.6294,Asia/Shanghai,3399232,minor
225,十堰,Shiyan,China,湖北,110.7755,32.6351,Asia/Shanghai,3398000,minor
226,四平,Siping,China,吉林,124.3644,43.1715,Asia/Shanghai,3385156,minor
227,Lucknow,Lucknow,India,Uttar Pradesh,80.947,26.847,Asia/Kolkata,3382000,admin
228,Lembok,Lembok,Indonesia,Nusa Tenggara Barat,116.3176,-8.6312,Asia/Jakarta,3352988,
229,长治,Changzhi,China,山西,113.097,36.1953,Asia/Shanghai,3334565,minor
230,鞍山,Anshan,China,辽宁,122.9895,41.1066,Asia/Shanghai,3325372,
231,宝鸡,Baojishi,China,陕西,107.1751,34.3609,Asia/Shanghai,3321853,
232,Mashhad,Mashhad,Iran,Khorāsān-e Raẕavī,59.6059,36.2975,Asia/Tehran,3317381,admin
233,钦州,Qinzhou,China,广西,108.6167,21.95,Asia/Shanghai,3304400,minor
234,贵阳,Guiyang,China,贵州,106.7078,26.5794,Asia/Shanghai,3299725,admin
235,铜仁,Tongren,China,贵州,109.1885,27.7233,Asia/Shanghai,3298468,
236,蚌埠,Bengbu,China,安徽,117.3531,32.9354,Asia/Shanghai,3296408,
237,遂宁,Suining,China,四川,105.5737,30.5098,Asia/Shanghai,3252619,minor
238,无锡,Wuxi,China,江苏,120.2833,31.5667,Asia/Shanghai,3245180,minor
239,Kannankulam,Kannankulam,India,Kerala,76.1131,10.4799,Asia/Kolkata,3243170,
240,乐山,Leshan,China,四川,103.7575,29.5854,Asia/Shanghai,3235759,
241,汉中,Hanzhong,China,陕西,107.026,33.0794,Asia/Shanghai,3211462,
242,莆田,Putian,China,福建,119.0103,25.4394,Asia/Shanghai,3210714,minor
243,镇江,Zhenjiang,China,江苏,119.4551,32.2109,Asia/Shanghai,3210418,minor
244,Can Tho,Can Tho,Vietnam,Cần Thơ,105.5005,10.1547,Asia/Ho_Chi_Minh,3207000,admin
245,Faisalabad,Faisalabad,Pakistan,Punjab,73.079,31.418,Asia/Karachi,3203846,minor
246,Mahuakheraganj,Mahuakheraganj,India,Uttarākhand,78.95,29.13,Asia/Kolkata,3198982,
247,Nagla,Nagla,India,Uttarākhand,79.51,29.01,Asia/Kolkata,3198982,
248,Santa Cruz de la Sierra,Santa Cruz de la Sierra,Bolivia,Santa Cruz,-63.1975,-17.7892,America/La_Paz,3151676,
249,宁德,Ningde,China,福建,119.5228,26.6617,Asia/Shanghai,3146789,minor
250,通辽,Tongliao,China,Inner Mongolia,122.264,43.6172,Asia/Shanghai,3139153,minor
251,秦皇岛,Qinhuangdao,China,河北,119.5881,39.9398,Asia/Shanghai,3136879,minor
252,瓜亚基尔,Guayaquil,Ecuador,Guayas,-79.8875,-2.19,America/Guayaquil,3094420,admin
253,河源,Heyuan,China,广东,114.6923,23.7503,Asia/Shanghai,3093900,minor
254,Quezon City,Quezon City,Philippines,Quezon,121.0475,14.65,Asia/Manila,3084270,admin
